Epoch 	 Time(sec) 	 Loss_train 	 Accuracy 	 Precision 	 Recall 	 Sensitivity 	 Specificity 	 MCC 	 F1-score 	 ROC_AUC 	 AUC 	 Q9 	 PPV 	 NPV 	 TP 	 FP 	 TN 	 FN
0	289.47365836892277	545.6276613473892	0.7818902842035691	0.7263157887091413	0.9078947356475069	0.9078947356475069	0.6547144745621322	0.5819626640513601	0.807017543387709	0.8481215488921509	1.0	0.7473090098778199	0.7263157887091413	0.8756660730449981	690	260	493	70
1	584.4548938916996	325.94187836593755	0.9041639127561136	0.8937259911732062	0.9184210514231302	0.9184210514231302	0.8897742352061431	0.8086108070771878	0.9059052557391919	0.9424582372265325	1.0	0.9030339141306711	0.8937259911732062	0.9153005451976769	698	83	670	62
2	880.3520017229021	166.70864402748703	0.9431592861863847	0.9629120865894065	0.9223684198389889	0.9223684198389889	0.9641434250144177	0.8871321327909254	0.9422043004420669	0.9844394352414901	1.0	0.9395336625561939	0.9629120865894065	0.9248407631530691	701	27	726	59
3	1176.5762599827722	89.15947978821029	0.9682749504296101	0.9684210513573407	0.9684210513573407	0.9684210513573407	0.9681274887541468	0.9365485426714196	0.9684210519944597	0.990043335430209	1.0	0.9682739317905766	0.9684210513573407	0.9681274887541468	736	24	729	24
4	1475.359254091978	43.55589147905867	0.9444811632518176	0.9152334141090499	0.9802631566049169	0.9802631566049169	0.9083665326582118	0.8911982276556369	0.9466327821177681	0.9916579296847697	1.0	0.9337194030945472	0.9152334141090499	0.9785407711322736	745	69	684	15
5	1764.7825093492866	93.45432379569311	0.9808327825512227	0.9932523603329928	0.9684210513573407	0.9684210513573407	0.9933598924390971	0.9619725934868076	0.9806795463153367	0.9937128678269379	1.0	0.9771820144644782	0.9932523603329928	0.9689119158433783	736	5	748	24
6	2060.5572342779487	67.08756591469552	0.9874421678783873	0.9946595447334319	0.9802631566049169	0.9802631566049169	0.9946879136856734	0.9749885548341993	0.9874088793986686	0.994633745718879	1.0	0.9855472981199921	0.9946595447334319	0.9803664908633947	745	4	749	15
7	2360.7692608721554	37.67983063357201	0.9861202908129544	0.9946452463257761	0.977631577661011	0.977631577661011	0.9946879136856734	0.9723857628032361	0.986065029206327	0.9927692737820647	1.0	0.9837432397544208	0.9946452463257761	0.9778067872352392	743	4	749	17
8	2652.3790453076363	51.47116202289256	0.976867151354924	0.964148526294304	0.9907894723805402	0.9907894723805402	0.9628154037678415	0.9540951563313254	0.977287475030962	0.9947018941776753	1.0	0.9729119223931344	0.964148526294304	0.9904371571168892	753	28	725	7
9	2958.353792089969	35.48333371518066	0.9821546596166556	0.9765929766234162	0.9881578934366344	0.9881578934366344	0.9760956162336047	0.9643748503489042	0.9823413989651135	0.9948067379604391	1.0	0.9811366100827361	0.9765929766234162	0.9879032244786247	751	18	735	9
10	3250.3783638309687	39.882430254675086	0.985459352280238	0.9959677405968176	0.9749999987171053	0.9749999987171053	0.9960159349322497	0.9711381252954908	0.9853723397703641	0.9948486754735444	1.0	0.9820992630888505	0.9959677405968176	0.975292586508072	741	3	750	19
11	3545.069749493152	30.575088586424492	0.984137475214805	0.9972972959495983	0.9710526303012466	0.9710526303012466	0.9973439561788261	0.9686166465181478	0.983999999344	0.9951317536870065	1.0	0.9794451380417147	0.9972972959495983	0.9715394554055117	738	2	751	22
12	3844.2621415955946	22.927243802863124	0.9881031064111038	0.9946666653404445	0.9815789460768698	0.9815789460768698	0.9946879136856734	0.9762924522588777	0.9880794695443181	0.9948696442300973	1.0	0.9864435729812004	0.9946666653404445	0.981651374860221	746	4	749	14
13	4140.667209801264	25.156629279548973	0.9894249834765367	0.9933686989477869	0.9855263144927285	0.9855263144927285	0.9933598924390971	0.9788810780814688	0.9894319676423831	0.9958097434822115	1.0	0.9887399257212242	0.9933686989477869	0.985507245078383	749	5	748	11
14	4442.561083191074	20.82728010410937	0.9887640449438202	0.997322622493544	0.9802631566049169	0.9802631566049169	0.9973439561788261	0.977673744627376	0.9887193092311085	0.994763053050954	1.0	0.9859181411377571	0.997322622493544	0.9804177532892718	745	2	751	15
15	4742.652416655794	39.941714785124105	0.9887640449438202	0.9907529709501282	0.9868421039646814	0.9868421039646814	0.9907038499459444	0.9775357077243656	0.9887936710686923	0.9957171314741037	1.0	0.9886081481910995	0.9907529709501282	0.9867724854672322	750	7	746	10
16	5048.850621053949	20.23539510995763	0.9881031064111038	0.9973190335156581	0.978947367132964	0.978947367132964	0.9973439561788261	0.976374929090464	0.9880478081088659	0.9960351576151534	1.0	0.9849955363617512	0.9973190335156581	0.9791395032866499	744	2	751	16
17	5343.5669198213145	25.907293812618605	0.9874421678783873	0.9973154349029323	0.977631577661011	0.977631577661011	0.9973439561788261	0.9750777726525581	0.9873754146263286	0.9964615223317257	1.0	0.9840720242633915	0.9973154349029323	0.9778645820600722	743	2	751	17
18	5644.255378722213	47.89255352972264	0.9874421678783873	0.9894319669888614	0.9855263144927285	0.9855263144927285	0.9893758286993681	0.9748919247206173	0.9874752795072673	0.996299014468442	1.0	0.9873043211577175	0.9894319669888614	0.9854497341462305	749	8	745	11
19	5942.664531871676	17.508133559838825	0.9881031064111038	0.9959893034812978	0.9802631566049169	0.9802631566049169	0.9960159349322497	0.9763302765710029	0.9880636598222389	0.995794016914797	1.0	0.9857624492939889	0.9959893034812978	0.9803921555811868	745	3	750	15
20	6235.955322697759	11.5792749399099	0.9881031064111038	0.9959893034812978	0.9802631566049169	0.9802631566049169	0.9960159349322497	0.9763302765710029	0.9880636598222389	0.995311735514084	1.0	0.9857624492939889	0.9959893034812978	0.9803921555811868	745	3	750	15
21	6542.067367359996	43.11326863904716	0.9861202908129544	0.997308208617351	0.9749999987171053	0.9749999987171053	0.9973439561788261	0.9724884106636992	0.9860279434557365	0.9959058502830782	1.0	0.9822228438474517	0.997308208617351	0.9753246740580199	741	2	751	19
22	6841.673730821349	30.334863544634686	0.9881031064111038	0.9959893034812978	0.9802631566049169	0.9802631566049169	0.9960159349322497	0.9763302765710029	0.9880636598222389	0.9960124414622212	1.0	0.9857624492939889	0.9959893034812978	0.9803921555811868	745	3	750	15
