Epoch 	 Time(sec) 	 Loss_train 	 Accuracy 	 Precision 	 Recall 	 Sensitivity 	 Specificity 	 MCC 	 F1-score 	 ROC_AUC 	 AUC 	 Q9 	 PPV 	 NPV 	 TP 	 FP 	 TN 	 FN
0	269.0008197776042	549.6230090558529	0.8678996036988111	0.9388379190537647	0.7932816527218584	0.7932816527218584	0.9459459446676406	0.7459786768010886	0.8599439769888347	0.9373088204483553	1.0	0.8489134098648248	0.9388379190537647	0.8139534874256354	614	40	700	160
1	534.2021868946031	240.07642637510435	0.9570673712021136	0.9916782233125129	0.9237726086256168	0.9237726086256168	0.9918918905514974	0.9164705040490659	0.9565217384906208	0.9878203785180529	1.0	0.945795035140309	0.9916782233125129	0.9255989900055498	715	6	734	59
2	837.3099278449081	101.01914795026909	0.9762219286657859	0.9742930578736593	0.9793281641093952	0.9793281641093952	0.9729729716581447	0.9524275251325626	0.9768041230819561	0.9904724491933794	1.0	0.9759398157041934	0.9742930578736593	0.9782608682360586	758	20	720	16
3	1108.1994710369036	36.41930376226837	0.9815059445178336	0.9946949588929775	0.9689922468100876	0.9689922468100876	0.9945945932505479	0.9633513989859367	0.9816753920276993	0.9905073678329493	1.0	0.9777435505095223	0.9946949588929775	0.9684210513573407	750	4	736	24
4	1372.0092648486607	49.5141696259069	0.9867899603698811	0.992167100532419	0.9819121434342221	0.9819121434342221	0.9918918905514974	0.9736272643966455	0.9870129863720695	0.9907797332215936	1.0	0.9859837250607788	0.992167100532419	0.9812834211480168	760	6	734	14
5	1651.7046067067422	49.73145897652399	0.9848084544253632	0.9947299064628065	0.9754521951221548	0.9754521951221548	0.9945945932505479	0.9698055379181322	0.984996737778867	0.9921153711851387	1.0	0.982226240267692	0.9947299064628065	0.9748344357949212	755	4	736	19
6	1938.2028118856251	75.12264377609633	0.9848084544253632	0.9947299064628065	0.9754521951221548	0.9754521951221548	0.9945945932505479	0.9698055379181322	0.984996737778867	0.9923667853900412	1.0	0.982226240267692	0.9947299064628065	0.9748344357949212	755	4	736	19
7	2206.6132188159972	45.25603806954416	0.9815059445178336	0.9946949588929775	0.9689922468100876	0.9689922468100876	0.9945945932505479	0.9633513989859367	0.9816753920276993	0.9932711781548991	1.0	0.9777435505095223	0.9946949588929775	0.9684210513573407	750	4	736	24
8	2477.7022502869368	60.824759338223686	0.9861294583883752	0.9947437569057244	0.9780361744469817	0.9780361744469817	0.9945945932505479	0.9723990560469721	0.9863192175984891	0.993627348278511	1.0	0.984005813790432	0.9947437569057244	0.9774236374801811	757	4	736	17
9	2777.604786018841	41.83902424048846	0.988110964332893	0.9934725835594352	0.9832041330966355	0.9832041330966355	0.9932432419010226	0.9762701255730318	0.9883116876699274	0.9937565472449192	1.0	0.9871985378914304	0.9934725835594352	0.9826203195419514	761	5	735	13
