Epoch 	 Time(sec) 	 Loss_train 	 Accuracy 	 Precision 	 Recall 	 Sensitivity 	 Specificity 	 MCC 	 F1-score 	 ROC_AUC 	 AUC 	 Q9 	 PPV 	 NPV 	 TP 	 FP 	 TN 	 FN
0	308.235709247645	548.082268461585	0.5406477197620622	0.9895833230251737	0.12040557652673564	0.12040557652673564	0.998618783151079	0.24390634734176508	0.21468926529413643	0.9392685334957882	1.0	0.3780320517530761	0.9895833230251737	0.5102328860195957	95	1	723	694
1	571.3329212097451	226.49178704191033	0.9570389953734303	0.9582278468883192	0.959442330849883	0.959442330849883	0.954419888184503	0.9139150194785228	0.9588347049025745	0.9841449068336029	1.0	0.9568579619095678	0.9582278468883192	0.9557399710155741	757	33	691	32
2	831.0396696939133	60.08194860636977	0.9795109054857898	0.9922077909192106	0.9683143206992214	0.9683143206992214	0.9917127058125516	0.9592934426278343	0.980115457998643	0.9884968734463514	1.0	0.9768411850775549	0.9922077909192106	0.9663526231946802	764	6	718	25
3	1088.0281995059922	71.61949213753263	0.9821546596166556	0.9884615371942801	0.9771863105485599	0.9771863105485599	0.987569059409435	0.9643300534366325	0.982791586371707	0.989454446148352	1.0	0.9816289273594314	0.9884615371942801	0.975443382025316	771	9	715	18
4	1365.8390016257763	72.04023203613252	0.9834765366820886	0.9948186515611157	0.9733840291845577	0.9733840291845577	0.9944751367479625	0.9671686238652756	0.9839846246098752	0.9899988796224327	1.0	0.9807784764449774	0.9948186515611157	0.9716599177170582	768	4	720	21
5	1645.7239897027612	24.13882283670698	0.9828155981493721	0.9935316934106964	0.9733840291845577	0.9733840291845577	0.993093921280257	0.9658154075979247	0.98335467286597	0.9899218536646849	1.0	0.9805564439837504	0.9935316934106964	0.9716216203086194	768	5	719	21
6	1894.5313869398087	41.677109325657284	0.984137475214805	0.9948253544698249	0.9746514563058917	0.9746514563058917	0.9944751367479625	0.9684622344779195	0.9846350825962643	0.9904522824191753	1.0	0.9816550728597522	0.9948253544698249	0.9729729716581447	769	4	720	20
7	2165.5185539457016	60.196556361546776	0.9834765366820886	0.9948186515611157	0.9733840291845577	0.9733840291845577	0.9944751367479625	0.9671686238652756	0.9839846246098752	0.9921100911007009	1.0	0.9807784764449774	0.9948186515611157	0.9716599177170582	768	4	720	21
8	2417.52465312602	34.289389705124066	0.984137475214805	0.9948253544698249	0.9746514563058917	0.9746514563058917	0.9944751367479625	0.9684622344779195	0.9846350825962643	0.9923184113046097	1.0	0.9816550728597522	0.9948253544698249	0.9729729716581447	769	4	720	20
9	2713.3179191588424	34.11381343015716	0.9828155981493721	0.9948119312648354	0.9721166020632236	0.9721166020632236	0.9944751367479625	0.9658767747197375	0.9833333327029914	0.9928208306199188	1.0	0.9799001503666436	0.9948119312648354	0.9703504030049186	767	4	720	22
10	2996.0204524598084	20.35721119958629	0.9847984137475215	0.9948320400583566	0.9759188834272258	0.9759188834272258	0.9944751367479625	0.9697576136351017	0.9852847082627736	0.9927525576119152	1.0	0.9825296792445678	0.9948320400583566	0.9742895791958193	770	4	720	19
11	3279.9232987640426	42.663699957712986	0.984137475214805	0.9948253544698249	0.9746514563058917	0.9746514563058917	0.9944751367479625	0.9684622344779195	0.9846350825962643	0.9926230139557032	1.0	0.9816550728597522	0.9948253544698249	0.9729729716581447	769	4	720	20
12	3591.31961223064	37.92376525926856	0.9861202908129544	0.994845359542725	0.9784537376698939	0.9784537376698939	0.9944751367479625	0.9723537060383382	0.9865814690181587	0.9928024494254565	1.0	0.9842715947131648	0.994845359542725	0.9769335129213927	772	4	720	17
13	3879.933746998664	45.894045023764704	0.985459352280238	0.9948387083937565	0.9771863105485599	0.9771863105485599	0.9944751367479625	0.9710547684433213	0.9859335032059248	0.9931884545091696	1.0	0.9834019810119903	0.9948387083937565	0.9756097547755965	771	4	720	18
14	4159.3254693639465	29.18634205029951	0.9847984137475215	0.9910256397550954	0.979721164791228	0.979721164791228	0.990331490344846	0.9696250032766791	0.985340980888884	0.9931867039192208	1.0	0.9841142963711942	0.9910256397550954	0.9781718949820302	773	7	717	16
15	4459.133672185708	10.234713439291752	0.985459352280238	0.9948387083937565	0.9771863105485599	0.9771863105485599	0.9944751367479625	0.9710547684433213	0.9859335032059248	0.993296991085996	1.0	0.9834019810119903	0.9948387083937565	0.9756097547755965	771	4	720	18
16	4745.329324312974	43.92189220943315	0.9874421678783873	0.9923273644599394	0.9835234461552301	0.9835234461552301	0.9917127058125516	0.9748897697773744	0.9879057918600217	0.9933004922658936	1.0	0.9869586042202521	0.9923273644599394	0.9822161409272009	776	6	718	13
17	5010.838443191722	35.379132163528375	0.9861202908129544	0.994845359542725	0.9784537376698939	0.9784537376698939	0.9944751367479625	0.9723537060383382	0.9865814690181587	0.9933197487553306	1.0	0.9842715947131648	0.994845359542725	0.9769335129213927	772	4	720	17
18	5285.728039707057	29.65215795279748	0.9861202908129544	0.994845359542725	0.9784537376698939	0.9784537376698939	0.9944751367479625	0.9723537060383382	0.9865814690181587	0.9932462239774804	1.0	0.9842715947131648	0.994845359542725	0.9769335129213927	772	4	720	17
19	5586.130948189646	12.029259782310035	0.9861202908129544	0.994845359542725	0.9784537376698939	0.9784537376698939	0.9944751367479625	0.9723537060383382	0.9865814690181587	0.993333753474921	1.0	0.9842715947131648	0.994845359542725	0.9769335129213927	772	4	720	17
20	5844.429744028952	15.75839532081725	0.9867812293456708	0.9935815134870584	0.9809885919125619	0.9809885919125619	0.993093921280257	0.9736139189211933	0.9872448973295631	0.9934484171165682	1.0	0.9856974216567499	0.9935815134870584	0.9795640313629917	774	5	719	15
21	6090.2192361908965	21.868449213591973	0.9867812293456708	0.9923175403427432	0.982256019033896	0.982256019033896	0.9917127058125516	0.9735802155193083	0.9872611458679864	0.9934081535477455	1.0	0.9861521113777025	0.9923175403427432	0.9808743155998985	775	6	718	14
22	6346.515793018974	16.69848845738443	0.9867812293456708	0.9935815134870584	0.9809885919125619	0.9809885919125619	0.993093921280257	0.9736139189211933	0.9872448973295631	0.9933363793598442	1.0	0.9856974216567499	0.9935815134870584	0.9795640313629917	774	5	719	15
23	6673.82607478695	10.687516051512496	0.9861202908129544	0.994845359542725	0.9784537376698939	0.9784537376698939	0.9944751367479625	0.9723537060383382	0.9865814690181587	0.9932523510423013	1.0	0.9842715947131648	0.994845359542725	0.9769335129213927	772	4	720	17
24	6958.327241432853	17.650929229201672	0.9867812293456708	0.9935815134870584	0.9809885919125619	0.9809885919125619	0.993093921280257	0.9736139189211933	0.9872448973295631	0.9932646051719428	1.0	0.9856974216567499	0.9935815134870584	0.9795640313629917	774	5	719	15
